 i 	 x 	 y 	 xe 	 ye
0	105	0.000491895	0	4.576e-05	
1	107	0.000602522	0	4.80795e-05	
2	109	0.00065797	0	4.96304e-05	
3	111	0.000691976	0	5.38099e-05	
4	113	0.000658417	0	5.14445e-05	
5	115	0.000603677	0	5.05869e-05	
6	117	0.000693963	0	5.45132e-05	
7	119	0.00056499	0	5.00224e-05	
8	121	0.000684552	0	5.42795e-05	
9	123	0.000497699	0	5.14824e-05	
10	125	0.000578984	0	5.29442e-05	
11	127	0.000468508	0	5.2589e-05	
12	129	0.000606489	0	5.81119e-05	
13	131	0.000524934	0	5.4831e-05	
14	133	0.000429303	0	4.35345e-05	
15	135	0.000395142	0	4.65293e-05	
16	137	0.00044823	0	4.87461e-05	
