 i 	 x 	 y 	 xe 	 ye
0	180	0.000583538	-1	-1	
1	177.16	0.000588644	-1	-1	
2	174.32	0.000603677	-1	-1	
3	171.5	0.000627797	-1	-1	
4	168.7	0.000659638	-1	-1	
5	165.92	0.000697372	-1	-1	
6	163.19	0.000738785	-1	-1	
7	160.49	0.00078138	-1	-1	
8	157.84	0.0008225	-1	-1	
9	155.23	0.00085946	-1	-1	
10	152.68	0.000889697	-1	-1	
11	150.19	0.000910912	-1	-1	
12	147.75	0.000921209	-1	-1	
13	145.37	0.000919218	-1	-1	
14	143.06	0.000904179	-1	-1	
15	140.8	0.000876008	-1	-1	
16	138.6	0.000835306	-1	-1	
17	136.46	0.000783334	-1	-1	
18	134.38	0.000721947	-1	-1	
19	132.36	0.000653478	-1	-1	
20	130.4	0.000580608	-1	-1	
21	128.49	0.000506206	-1	-1	
22	126.64	0.000433156	-1	-1	
23	124.83	0.000364199	-1	-1	
24	123.08	0.000301778	-1	-1	
25	121.37	0.000247912	-1	-1	
26	119.71	0.000204096	-1	-1	
27	118.1	0.000171244	-1	-1	
28	116.53	0.000149666	-1	-1	
29	114.99	0.000139079	-1	-1	
30	113.5	0.000138664	-1	-1	
31	112.05	0.000147139	-1	-1	
32	110.62	0.000162861	-1	-1	
33	109.24	0.000183943	-1	-1	
34	107.88	0.000208375	-1	-1	
35	106.56	0.000234143	-1	-1	
36	105.26	0.000259338	-1	-1	
37	104	0.000282253	-1	-1	
38	102.76	0.00030146	-1	-1	
39	101.54	0.000315861	-1	-1	
40	100.35	0.000324723	-1	-1	
41	99.19	0.00032768	-1	-1	
42	98.04	0.00032473	-1	-1	
43	96.92	0.000316191	-1	-1	
44	95.81	0.000302668	-1	-1	
45	94.73	0.000284986	-1	-1	
46	93.66	0.00026413	-1	-1	
47	92.61	0.000241183	-1	-1	
48	91.58	0.000217254	-1	-1	
49	90.57	0.000193421	-1	-1	
50	89.56	0.000170678	-1	-1	
51	88.58	0.000149892	-1	-1	
52	87.61	0.000131769	-1	-1	
53	86.65	0.000116831	-1	-1	
54	85.7	0.000105409	-1	-1	
55	84.77	9.76412e-05	-1	-1	
56	83.84	9.34827e-05	-1	-1	
57	82.93	9.27244e-05	-1	-1	
58	82.03	9.5016e-05	-1	-1	
59	81.14	9.98952e-05	-1	-1	
60	80.26	0.000106819	-1	-1	
61	79.39	0.000115193	-1	-1	
62	78.53	0.000124407	-1	-1	
63	77.68	0.000133861	-1	-1	
64	76.83	0.000142991	-1	-1	
65	76	0.000151292	-1	-1	
66	75.17	0.000158331	-1	-1	
67	74.35	0.000163766	-1	-1	
68	73.54	0.000167347	-1	-1	
69	72.73	0.000168922	-1	-1	
70	71.93	0.000168433	-1	-1	
71	71.14	0.000165909	-1	-1	
72	70.35	0.000161464	-1	-1	
73	69.57	0.000155277	-1	-1	
74	68.79	0.000147583	-1	-1	
75	68.02	0.000138663	-1	-1	
76	67.26	0.00012882	-1	-1	
77	66.5	0.000118375	-1	-1	
78	65.75	0.000107648	-1	-1	
79	65	9.6947e-05	-1	-1	
80	64.25	8.65579e-05	-1	-1	
81	63.51	7.67369e-05	-1	-1	
82	62.78	6.77027e-05	-1	-1	
83	62.05	5.96324e-05	-1	-1	
84	61.32	5.26591e-05	-1	-1	
85	60.59	4.68707e-05	-1	-1	
86	59.87	4.2311e-05	-1	-1	
87	59.16	3.89823e-05	-1	-1	
88	58.45	3.68487e-05	-1	-1	
89	57.74	3.58408e-05	-1	-1	
90	57.03	3.58606e-05	-1	-1	
91	56.33	3.67876e-05	-1	-1	
92	55.63	3.84842e-05	-1	-1	
93	54.93	4.08019e-05	-1	-1	
94	54.24	4.35865e-05	-1	-1	
95	53.55	4.66835e-05	-1	-1	
96	52.86	4.99425e-05	-1	-1	
97	52.18	5.3222e-05	-1	-1	
98	51.5	5.63918e-05	-1	-1	
99	50.82	5.93365e-05	-1	-1	
100	50.14	6.1957e-05	-1	-1	
101	49.47	6.4172e-05	-1	-1	
102	48.79	6.59184e-05	-1	-1	
103	48.12	6.71517e-05	-1	-1	
104	47.45	6.7845e-05	-1	-1	
105	46.79	6.79884e-05	-1	-1	
106	46.12	6.75871e-05	-1	-1	
107	45.46	6.66606e-05	-1	-1	
108	44.8	6.524e-05	-1	-1	
109	44.14	6.33666e-05	-1	-1	
110	43.49	6.10896e-05	-1	-1	
111	42.83	5.84642e-05	-1	-1	
112	42.18	5.55499e-05	-1	-1	
113	41.53	5.24083e-05	-1	-1	
114	40.88	4.91017e-05	-1	-1	
115	40.23	4.56917e-05	-1	-1	
116	39.59	4.22378e-05	-1	-1	
117	38.94	3.87962e-05	-1	-1	
118	38.3	3.54193e-05	-1	-1	
119	37.66	3.21546e-05	-1	-1	
120	37.02	2.90443e-05	-1	-1	
121	36.38	2.61252e-05	-1	-1	
122	35.74	2.34282e-05	-1	-1	
123	35.1	2.09783e-05	-1	-1	
124	34.47	1.87946e-05	-1	-1	
125	33.83	1.68906e-05	-1	-1	
126	33.2	1.52744e-05	-1	-1	
127	32.57	1.39487e-05	-1	-1	
128	31.94	1.29114e-05	-1	-1	
129	31.31	1.21558e-05	-1	-1	
130	30.68	1.16713e-05	-1	-1	
131	30.05	1.14434e-05	-1	-1	
132	29.42	1.14545e-05	-1	-1	
133	28.79	1.16844e-05	-1	-1	
134	28.17	1.21103e-05	-1	-1	
135	27.55	1.2708e-05	-1	-1	
136	26.92	1.3452e-05	-1	-1	
137	26.3	1.43158e-05	-1	-1	
138	25.68	1.52731e-05	-1	-1	
139	25.06	1.62975e-05	-1	-1	
140	24.44	1.73636e-05	-1	-1	
141	23.82	1.8447e-05	-1	-1	
142	23.2	1.95251e-05	-1	-1	
143	22.58	2.05772e-05	-1	-1	
144	21.96	2.15851e-05	-1	-1	
145	21.34	2.25329e-05	-1	-1	
146	20.73	2.3408e-05	-1	-1	
147	20.11	2.42003e-05	-1	-1	
148	19.5	2.49032e-05	-1	-1	
149	18.88	2.55127e-05	-1	-1	
150	18.27	2.60281e-05	-1	-1	
151	17.66	2.64514e-05	-1	-1	
152	17.04	2.67871e-05	-1	-1	
153	16.43	2.70419e-05	-1	-1	
154	15.82	2.72246e-05	-1	-1	
155	15.21	2.73454e-05	-1	-1	
156	14.59	2.74157e-05	-1	-1	
157	13.98	2.74473e-05	-1	-1	
158	13.37	2.74524e-05	-1	-1	
159	12.76	2.74428e-05	-1	-1	
160	12.15	2.74299e-05	-1	-1	
161	11.54	2.74238e-05	-1	-1	
162	10.93	2.74332e-05	-1	-1	
163	10.32	2.74653e-05	-1	-1	
164	9.72	2.75255e-05	-1	-1	
165	9.11	2.76171e-05	-1	-1	
166	8.5	2.77415e-05	-1	-1	
167	7.89	2.7898e-05	-1	-1	
168	7.28	2.80841e-05	-1	-1	
169	6.68	2.82956e-05	-1	-1	
170	6.07	2.85268e-05	-1	-1	
171	5.46	2.87708e-05	-1	-1	
172	4.85	2.90199e-05	-1	-1	
173	4.25	2.92658e-05	-1	-1	
174	3.64	2.95002e-05	-1	-1	
175	3.03	2.97148e-05	-1	-1	
176	2.43	2.9902e-05	-1	-1	
177	1.82	3.00551e-05	-1	-1	
178	1.21	3.01687e-05	-1	-1	
179	0.61	3.02385e-05	-1	-1	
180	0	3.02621e-05	-1	-1	
