 i 	 x 	 y 	 xe 	 ye
0	180	0.00144995	-1	-1	
1	176.78	0.00145397	-1	-1	
2	173.57	0.00146573	-1	-1	
3	170.39	0.0014844	-1	-1	
4	167.24	0.00150858	-1	-1	
5	164.14	0.00153642	-1	-1	
6	161.08	0.00156563	-1	-1	
7	158.09	0.00159359	-1	-1	
8	155.17	0.00161753	-1	-1	
9	152.32	0.0016346	-1	-1	
10	149.54	0.00164209	-1	-1	
11	146.85	0.0016376	-1	-1	
12	144.24	0.00161921	-1	-1	
13	141.7	0.00158563	-1	-1	
14	139.25	0.00153632	-1	-1	
15	136.89	0.00147157	-1	-1	
16	134.6	0.00139252	-1	-1	
17	132.38	0.0013011	-1	-1	
18	130.25	0.00119998	-1	-1	
19	128.18	0.00109236	-1	-1	
20	126.19	0.00098185	-1	-1	
21	124.26	0.000872218	-1	-1	
22	122.4	0.000767195	-1	-1	
23	120.59	0.000670254	-1	-1	
24	118.85	0.000584421	-1	-1	
25	117.16	0.000512112	-1	-1	
26	115.52	0.000455015	-1	-1	
27	113.94	0.000414016	-1	-1	
28	112.4	0.00038918	-1	-1	
29	110.9	0.000379781	-1	-1	
30	109.45	0.000384384	-1	-1	
31	108.03	0.000400959	-1	-1	
32	106.66	0.000427034	-1	-1	
33	105.32	0.00045986	-1	-1	
34	104.01	0.000496577	-1	-1	
35	102.74	0.000534384	-1	-1	
36	101.49	0.000570677	-1	-1	
37	100.28	0.000603172	-1	-1	
38	99.09	0.000629992	-1	-1	
39	97.93	0.000649728	-1	-1	
40	96.79	0.000661463	-1	-1	
41	95.68	0.000664774	-1	-1	
42	94.58	0.000659709	-1	-1	
43	93.51	0.000646738	-1	-1	
44	92.46	0.000626694	-1	-1	
45	91.43	0.000600699	-1	-1	
46	90.41	0.000570085	-1	-1	
47	89.41	0.000536305	-1	-1	
48	88.43	0.000500854	-1	-1	
49	87.46	0.000465185	-1	-1	
50	86.51	0.000430645	-1	-1	
51	85.57	0.000398409	-1	-1	
52	84.65	0.000369443	-1	-1	
53	83.74	0.000344474	-1	-1	
54	82.84	0.000323973	-1	-1	
55	81.95	0.000308163	-1	-1	
56	81.07	0.000297029	-1	-1	
57	80.2	0.000290344	-1	-1	
58	79.34	0.000287703	-1	-1	
59	78.5	0.000288556	-1	-1	
60	77.66	0.000292253	-1	-1	
61	76.83	0.00029808	-1	-1	
62	76.01	0.000305294	-1	-1	
63	75.2	0.000313164	-1	-1	
64	74.39	0.000320995	-1	-1	
65	73.59	0.000328158	-1	-1	
66	72.8	0.000334104	-1	-1	
67	72.02	0.000338383	-1	-1	
68	71.24	0.000340655	-1	-1	
69	70.47	0.000340687	-1	-1	
70	69.71	0.000338357	-1	-1	
71	68.95	0.00033365	-1	-1	
72	68.2	0.000326646	-1	-1	
73	67.45	0.000317511	-1	-1	
74	66.71	0.000306482	-1	-1	
75	65.97	0.000293851	-1	-1	
76	65.24	0.000279952	-1	-1	
77	64.51	0.000265139	-1	-1	
78	63.79	0.000249778	-1	-1	
79	63.07	0.000234226	-1	-1	
80	62.35	0.000218822	-1	-1	
81	61.64	0.000203875	-1	-1	
82	60.94	0.000189656	-1	-1	
83	60.24	0.000176391	-1	-1	
84	59.54	0.000164261	-1	-1	
85	58.84	0.000153397	-1	-1	
86	58.15	0.000143879	-1	-1	
87	57.46	0.000135744	-1	-1	
88	56.78	0.000128987	-1	-1	
89	56.09	0.000123564	-1	-1	
90	55.41	0.000119397	-1	-1	
91	54.74	0.000116385	-1	-1	
92	54.06	0.000114403	-1	-1	
93	53.39	0.000113312	-1	-1	
94	52.73	0.000112963	-1	-1	
95	52.06	0.000113203	-1	-1	
96	51.4	0.000113878	-1	-1	
97	50.74	0.00011484	-1	-1	
98	50.08	0.00011595	-1	-1	
99	49.42	0.000117078	-1	-1	
100	48.77	0.00011811	-1	-1	
101	48.12	0.000118948	-1	-1	
102	47.47	0.00011951	-1	-1	
103	46.82	0.000119732	-1	-1	
104	46.17	0.000119568	-1	-1	
105	45.53	0.000118988	-1	-1	
106	44.89	0.000117978	-1	-1	
107	44.24	0.000116541	-1	-1	
108	43.61	0.000114689	-1	-1	
109	42.97	0.000112446	-1	-1	
110	42.33	0.000109846	-1	-1	
111	41.7	0.000106929	-1	-1	
112	41.07	0.000103739	-1	-1	
113	40.44	0.000100323	-1	-1	
114	39.81	9.67314e-05	-1	-1	
115	39.18	9.30117e-05	-1	-1	
116	38.55	8.92116e-05	-1	-1	
117	37.93	8.53766e-05	-1	-1	
118	37.3	8.15491e-05	-1	-1	
119	36.68	7.77679e-05	-1	-1	
120	36.06	7.40683e-05	-1	-1	
121	35.44	7.04816e-05	-1	-1	
122	34.82	6.70351e-05	-1	-1	
123	34.2	6.37521e-05	-1	-1	
124	33.58	6.06523e-05	-1	-1	
125	32.97	5.77519e-05	-1	-1	
126	32.35	5.50635e-05	-1	-1	
127	31.74	5.25969e-05	-1	-1	
128	31.12	5.03593e-05	-1	-1	
129	30.51	4.83551e-05	-1	-1	
130	29.9	4.65865e-05	-1	-1	
131	29.29	4.50538e-05	-1	-1	
132	28.68	4.37553e-05	-1	-1	
133	28.07	4.26876e-05	-1	-1	
134	27.46	4.18459e-05	-1	-1	
135	26.85	4.12237e-05	-1	-1	
136	26.25	4.08134e-05	-1	-1	
137	25.64	4.06059e-05	-1	-1	
138	25.04	4.0591e-05	-1	-1	
139	24.43	4.07574e-05	-1	-1	
140	23.83	4.10926e-05	-1	-1	
141	23.22	4.15835e-05	-1	-1	
142	22.62	4.22158e-05	-1	-1	
143	22.02	4.29748e-05	-1	-1	
144	21.42	4.38452e-05	-1	-1	
145	20.82	4.48112e-05	-1	-1	
146	20.22	4.58573e-05	-1	-1	
147	19.62	4.69678e-05	-1	-1	
148	19.02	4.81273e-05	-1	-1	
149	18.42	4.9321e-05	-1	-1	
150	17.82	5.05351e-05	-1	-1	
151	17.22	5.17562e-05	-1	-1	
152	16.62	5.29727e-05	-1	-1	
153	16.03	5.41736e-05	-1	-1	
154	15.43	5.53498e-05	-1	-1	
155	14.83	5.64933e-05	-1	-1	
156	14.24	5.75977e-05	-1	-1	
157	13.64	5.8658e-05	-1	-1	
158	13.05	5.96706e-05	-1	-1	
159	12.45	6.0633e-05	-1	-1	
160	11.86	6.15441e-05	-1	-1	
161	11.26	6.24035e-05	-1	-1	
162	10.67	6.32117e-05	-1	-1	
163	10.07	6.39696e-05	-1	-1	
164	9.48	6.46789e-05	-1	-1	
165	8.89	6.53412e-05	-1	-1	
166	8.29	6.59581e-05	-1	-1	
167	7.7	6.65313e-05	-1	-1	
168	7.11	6.70621e-05	-1	-1	
169	6.51	6.75517e-05	-1	-1	
170	5.92	6.80007e-05	-1	-1	
171	5.33	6.84094e-05	-1	-1	
172	4.74	6.8778e-05	-1	-1	
173	4.14	6.91059e-05	-1	-1	
174	3.55	6.93926e-05	-1	-1	
175	2.96	6.96374e-05	-1	-1	
176	2.37	6.98392e-05	-1	-1	
177	1.78	6.99973e-05	-1	-1	
178	1.18	7.01109e-05	-1	-1	
179	0.59	7.01793e-05	-1	-1	
180	0	7.02021e-05	-1	-1	
