 i 	 x 	 y 	 xe 	 ye
0	180	3.42158e-05	-1	-1	
1	176.43	3.43548e-05	-1	-1	
2	172.87	3.47723e-05	-1	-1	
3	169.35	3.54696e-05	-1	-1	
4	165.88	3.64486e-05	-1	-1	
5	162.47	3.77118e-05	-1	-1	
6	159.13	3.92612e-05	-1	-1	
7	155.88	4.10983e-05	-1	-1	
8	152.72	4.32228e-05	-1	-1	
9	149.66	4.56322e-05	-1	-1	
10	146.71	4.83208e-05	-1	-1	
11	143.86	5.12783e-05	-1	-1	
12	141.11	5.44895e-05	-1	-1	
13	138.47	5.79327e-05	-1	-1	
14	135.93	6.15797e-05	-1	-1	
15	133.49	6.53949e-05	-1	-1	
16	131.15	6.93352e-05	-1	-1	
17	128.9	7.33502e-05	-1	-1	
18	126.74	7.73829e-05	-1	-1	
19	124.67	8.13701e-05	-1	-1	
20	122.67	8.52441e-05	-1	-1	
21	120.75	8.89337e-05	-1	-1	
22	118.9	9.23656e-05	-1	-1	
23	117.12	9.54668e-05	-1	-1	
24	115.41	9.81662e-05	-1	-1	
25	113.75	0.000100397	-1	-1	
26	112.15	0.000102098	-1	-1	
27	110.6	0.000103218	-1	-1	
28	109.1	0.000103717	-1	-1	
29	107.65	0.000103568	-1	-1	
30	106.24	0.000102758	-1	-1	
31	104.88	0.000101292	-1	-1	
32	103.55	9.91917e-05	-1	-1	
33	102.26	9.6493e-05	-1	-1	
34	101	9.32484e-05	-1	-1	
35	99.77	8.95229e-05	-1	-1	
36	98.58	8.53923e-05	-1	-1	
37	97.41	8.094e-05	-1	-1	
38	96.27	7.62544e-05	-1	-1	
39	95.16	7.14263e-05	-1	-1	
40	94.07	6.6546e-05	-1	-1	
41	93	6.1701e-05	-1	-1	
42	91.95	5.6974e-05	-1	-1	
43	90.92	5.24412e-05	-1	-1	
44	89.92	4.81703e-05	-1	-1	
45	88.93	4.42193e-05	-1	-1	
46	87.95	4.06352e-05	-1	-1	
47	87	3.74529e-05	-1	-1	
48	86.06	3.46948e-05	-1	-1	
49	85.13	3.23702e-05	-1	-1	
50	84.22	3.04758e-05	-1	-1	
51	83.32	2.89962e-05	-1	-1	
52	82.43	2.79052e-05	-1	-1	
53	81.56	2.71672e-05	-1	-1	
54	80.69	2.67389e-05	-1	-1	
55	79.84	2.65716e-05	-1	-1	
56	79	2.6613e-05	-1	-1	
57	78.17	2.68092e-05	-1	-1	
58	77.34	2.7107e-05	-1	-1	
59	76.53	2.74549e-05	-1	-1	
60	75.72	2.78053e-05	-1	-1	
61	74.93	2.81151e-05	-1	-1	
62	74.14	2.83472e-05	-1	-1	
63	73.36	2.84708e-05	-1	-1	
64	72.58	2.84621e-05	-1	-1	
65	71.81	2.83043e-05	-1	-1	
66	71.05	2.79878e-05	-1	-1	
67	70.3	2.75095e-05	-1	-1	
68	69.55	2.68729e-05	-1	-1	
69	68.81	2.60872e-05	-1	-1	
70	68.07	2.51664e-05	-1	-1	
71	67.34	2.41289e-05	-1	-1	
72	66.61	2.29962e-05	-1	-1	
73	65.89	2.17919e-05	-1	-1	
74	65.17	2.05412e-05	-1	-1	
75	64.46	1.92695e-05	-1	-1	
76	63.75	1.80019e-05	-1	-1	
77	63.05	1.67619e-05	-1	-1	
78	62.35	1.55713e-05	-1	-1	
79	61.65	1.44493e-05	-1	-1	
80	60.96	1.34119e-05	-1	-1	
81	60.28	1.24718e-05	-1	-1	
82	59.59	1.1638e-05	-1	-1	
83	58.91	1.0916e-05	-1	-1	
84	58.23	1.03078e-05	-1	-1	
85	57.56	9.81192e-06	-1	-1	
86	56.89	9.42399e-06	-1	-1	
87	56.22	9.13702e-06	-1	-1	
88	55.55	8.94187e-06	-1	-1	
89	54.89	8.82771e-06	-1	-1	
90	54.23	8.78247e-06	-1	-1	
91	53.58	8.79333e-06	-1	-1	
92	52.92	8.84712e-06	-1	-1	
93	52.27	8.93071e-06	-1	-1	
94	51.62	9.03137e-06	-1	-1	
95	50.97	9.13702e-06	-1	-1	
96	50.33	9.23658e-06	-1	-1	
97	49.68	9.3201e-06	-1	-1	
98	49.04	9.37901e-06	-1	-1	
99	48.4	9.40622e-06	-1	-1	
100	47.77	9.39627e-06	-1	-1	
101	47.13	9.34534e-06	-1	-1	
102	46.5	9.25133e-06	-1	-1	
103	45.87	9.11377e-06	-1	-1	
104	45.24	8.93377e-06	-1	-1	
105	44.61	8.71394e-06	-1	-1	
106	43.98	8.45816e-06	-1	-1	
107	43.36	8.17145e-06	-1	-1	
108	42.74	7.85971e-06	-1	-1	
109	42.11	7.52952e-06	-1	-1	
110	41.49	7.18789e-06	-1	-1	
111	40.87	6.842e-06	-1	-1	
112	40.26	6.49898e-06	-1	-1	
113	39.64	6.16574e-06	-1	-1	
114	39.03	5.84874e-06	-1	-1	
115	38.41	5.55387e-06	-1	-1	
116	37.8	5.28628e-06	-1	-1	
117	37.19	5.05034e-06	-1	-1	
118	36.58	4.84951e-06	-1	-1	
119	35.97	4.68639e-06	-1	-1	
120	35.36	4.56261e-06	-1	-1	
121	34.75	4.47891e-06	-1	-1	
122	34.15	4.43516e-06	-1	-1	
123	33.54	4.43038e-06	-1	-1	
124	32.94	4.46282e-06	-1	-1	
125	32.34	4.53005e-06	-1	-1	
126	31.73	4.62902e-06	-1	-1	
127	31.13	4.75615e-06	-1	-1	
128	30.53	4.90742e-06	-1	-1	
129	29.93	5.07852e-06	-1	-1	
130	29.33	5.26487e-06	-1	-1	
131	28.74	5.46175e-06	-1	-1	
132	28.14	5.66444e-06	-1	-1	
133	27.54	5.86822e-06	-1	-1	
134	26.95	6.06853e-06	-1	-1	
135	26.35	6.26101e-06	-1	-1	
136	25.76	6.44157e-06	-1	-1	
137	25.16	6.60647e-06	-1	-1	
138	24.57	6.75235e-06	-1	-1	
139	23.98	6.87626e-06	-1	-1	
140	23.39	6.97572e-06	-1	-1	
141	22.79	7.04872e-06	-1	-1	
142	22.2	7.09372e-06	-1	-1	
143	21.61	7.10968e-06	-1	-1	
144	21.02	7.09602e-06	-1	-1	
145	20.43	7.05263e-06	-1	-1	
146	19.85	6.97982e-06	-1	-1	
147	19.26	6.87833e-06	-1	-1	
148	18.67	6.74925e-06	-1	-1	
149	18.08	6.59401e-06	-1	-1	
150	17.49	6.41438e-06	-1	-1	
151	16.91	6.21232e-06	-1	-1	
152	16.32	5.99004e-06	-1	-1	
153	15.73	5.74992e-06	-1	-1	
154	15.15	5.49444e-06	-1	-1	
155	14.56	5.22618e-06	-1	-1	
156	13.98	4.94776e-06	-1	-1	
157	13.39	4.66181e-06	-1	-1	
158	12.81	4.37089e-06	-1	-1	
159	12.23	4.07755e-06	-1	-1	
160	11.64	3.78422e-06	-1	-1	
161	11.06	3.4932e-06	-1	-1	
162	10.47	3.20668e-06	-1	-1	
163	9.89	2.92668e-06	-1	-1	
164	9.31	2.65506e-06	-1	-1	
165	8.73	2.39353e-06	-1	-1	
166	8.14	2.14358e-06	-1	-1	
167	7.56	1.90657e-06	-1	-1	
168	6.98	1.68366e-06	-1	-1	
169	6.4	1.47586e-06	-1	-1	
170	5.81	1.28404e-06	-1	-1	
171	5.23	1.10889e-06	-1	-1	
172	4.65	9.51004e-07	-1	-1	
173	4.07	8.10855e-07	-1	-1	
174	3.49	6.88809e-07	-1	-1	
175	2.91	5.85153e-07	-1	-1	
