 i 	 x 	 y 	 xe 	 ye
0	180	0.000238581	-1	-1	
1	176.54	0.000238924	-1	-1	
2	173.09	0.000239921	-1	-1	
3	169.67	0.000241471	-1	-1	
4	166.29	0.000243413	-1	-1	
5	162.97	0.000245527	-1	-1	
6	159.72	0.000247546	-1	-1	
7	156.55	0.000249171	-1	-1	
8	153.46	0.000250082	-1	-1	
9	150.46	0.000249961	-1	-1	
10	147.56	0.000248512	-1	-1	
11	144.75	0.000245486	-1	-1	
12	142.04	0.000240696	-1	-1	
13	139.43	0.000234038	-1	-1	
14	136.92	0.0002255	-1	-1	
15	134.5	0.000215169	-1	-1	
16	132.17	0.000203228	-1	-1	
17	129.93	0.000189945	-1	-1	
18	127.77	0.000175666	-1	-1	
19	125.7	0.000160788	-1	-1	
20	123.7	0.000145749	-1	-1	
21	121.77	0.000130994	-1	-1	
22	119.92	0.000116961	-1	-1	
23	118.13	0.000104055	-1	-1	
24	116.4	9.26277e-05	-1	-1	
25	114.74	8.29556e-05	-1	-1	
26	113.12	7.52282e-05	-1	-1	
27	111.56	6.95361e-05	-1	-1	
28	110.05	6.58676e-05	-1	-1	
29	108.58	6.41124e-05	-1	-1	
30	107.16	6.40726e-05	-1	-1	
31	105.78	6.54799e-05	-1	-1	
32	104.44	6.80179e-05	-1	-1	
33	103.13	7.13458e-05	-1	-1	
34	101.86	7.51218e-05	-1	-1	
35	100.62	7.9024e-05	-1	-1	
36	99.41	8.2767e-05	-1	-1	
37	98.23	8.61125e-05	-1	-1	
38	97.07	8.88758e-05	-1	-1	
39	95.95	9.09275e-05	-1	-1	
40	94.84	9.21917e-05	-1	-1	
41	93.76	9.26428e-05	-1	-1	
42	92.7	9.23006e-05	-1	-1	
43	91.66	9.12251e-05	-1	-1	
44	90.64	8.95108e-05	-1	-1	
45	89.64	8.72803e-05	-1	-1	
46	88.65	8.46773e-05	-1	-1	
47	87.68	8.18579e-05	-1	-1	
48	86.73	7.89817e-05	-1	-1	
49	85.79	7.62021e-05	-1	-1	
50	84.87	7.36571e-05	-1	-1	
51	83.96	7.14611e-05	-1	-1	
52	83.06	6.96989e-05	-1	-1	
53	82.17	6.84215e-05	-1	-1	
54	81.3	6.76453e-05	-1	-1	
55	80.44	6.73537e-05	-1	-1	
56	79.58	6.75009e-05	-1	-1	
57	78.74	6.80169e-05	-1	-1	
58	77.91	6.88146e-05	-1	-1	
59	77.08	6.97961e-05	-1	-1	
60	76.27	7.0859e-05	-1	-1	
61	75.46	7.19025e-05	-1	-1	
62	74.66	7.2832e-05	-1	-1	
63	73.87	7.35622e-05	-1	-1	
64	73.09	7.40203e-05	-1	-1	
65	72.31	7.4147e-05	-1	-1	
66	71.55	7.38974e-05	-1	-1	
67	70.78	7.32415e-05	-1	-1	
68	70.03	7.21638e-05	-1	-1	
69	69.27	7.06629e-05	-1	-1	
70	68.53	6.87512e-05	-1	-1	
71	67.79	6.64535e-05	-1	-1	
72	67.06	6.38064e-05	-1	-1	
73	66.33	6.08567e-05	-1	-1	
74	65.6	5.76599e-05	-1	-1	
75	64.88	5.42785e-05	-1	-1	
76	64.17	5.07799e-05	-1	-1	
77	63.46	4.72337e-05	-1	-1	
78	62.75	4.37099e-05	-1	-1	
79	62.05	4.02762e-05	-1	-1	
80	61.35	3.69957e-05	-1	-1	
81	60.66	3.39252e-05	-1	-1	
82	59.97	3.11132e-05	-1	-1	
83	59.28	2.85989e-05	-1	-1	
84	58.6	2.64114e-05	-1	-1	
85	57.92	2.45698e-05	-1	-1	
86	57.24	2.30831e-05	-1	-1	
87	56.57	2.19513e-05	-1	-1	
88	55.9	2.11659e-05	-1	-1	
89	55.23	2.07113e-05	-1	-1	
90	54.56	2.05656e-05	-1	-1	
91	53.9	2.0702e-05	-1	-1	
92	53.24	2.10898e-05	-1	-1	
93	52.58	2.16954e-05	-1	-1	
94	51.93	2.2483e-05	-1	-1	
95	51.28	2.34152e-05	-1	-1	
96	50.63	2.44543e-05	-1	-1	
97	49.98	2.55622e-05	-1	-1	
98	49.33	2.67016e-05	-1	-1	
99	48.69	2.78364e-05	-1	-1	
100	48.05	2.89322e-05	-1	-1	
101	47.41	2.99572e-05	-1	-1	
102	46.77	3.08825e-05	-1	-1	
103	46.13	3.16831e-05	-1	-1	
104	45.5	3.23376e-05	-1	-1	
105	44.87	3.28292e-05	-1	-1	
106	44.24	3.31458e-05	-1	-1	
107	43.61	3.32795e-05	-1	-1	
108	42.98	3.32274e-05	-1	-1	
109	42.35	3.29906e-05	-1	-1	
110	41.73	3.25741e-05	-1	-1	
111	41.11	3.19865e-05	-1	-1	
112	40.48	3.12393e-05	-1	-1	
113	39.86	3.03465e-05	-1	-1	
114	39.24	2.93239e-05	-1	-1	
115	38.63	2.81888e-05	-1	-1	
116	38.01	2.69591e-05	-1	-1	
117	37.4	2.56533e-05	-1	-1	
118	36.78	2.42898e-05	-1	-1	
119	36.17	2.28869e-05	-1	-1	
120	35.56	2.14621e-05	-1	-1	
121	34.95	2.00323e-05	-1	-1	
122	34.34	1.86133e-05	-1	-1	
123	33.73	1.72199e-05	-1	-1	
124	33.12	1.58657e-05	-1	-1	
125	32.51	1.45631e-05	-1	-1	
126	31.91	1.3323e-05	-1	-1	
127	31.3	1.21552e-05	-1	-1	
128	30.7	1.10681e-05	-1	-1	
129	30.09	1.00687e-05	-1	-1	
130	29.49	9.16277e-06	-1	-1	
131	28.89	8.35466e-06	-1	-1	
132	28.29	7.64762e-06	-1	-1	
133	27.69	7.04369e-06	-1	-1	
134	27.09	6.54381e-06	-1	-1	
135	26.49	6.14795e-06	-1	-1	
136	25.89	5.85516e-06	-1	-1	
137	25.3	5.6637e-06	-1	-1	
138	24.7	5.57115e-06	-1	-1	
139	24.1	5.57451e-06	-1	-1	
140	23.51	5.67033e-06	-1	-1	
141	22.91	5.85474e-06	-1	-1	
142	22.32	6.12365e-06	-1	-1	
143	21.73	6.47271e-06	-1	-1	
144	21.13	6.89749e-06	-1	-1	
145	20.54	7.39344e-06	-1	-1	
146	19.95	7.95599e-06	-1	-1	
147	19.36	8.58056e-06	-1	-1	
148	18.77	9.26256e-06	-1	-1	
149	18.18	9.99742e-06	-1	-1	
150	17.59	1.07806e-05	-1	-1	
151	17	1.16074e-05	-1	-1	
152	16.41	1.24734e-05	-1	-1	
153	15.82	1.33739e-05	-1	-1	
154	15.23	1.43041e-05	-1	-1	
155	14.64	1.52594e-05	-1	-1	
156	14.05	1.62349e-05	-1	-1	
157	13.46	1.72256e-05	-1	-1	
158	12.88	1.82265e-05	-1	-1	
159	12.29	1.92324e-05	-1	-1	
160	11.7	2.02383e-05	-1	-1	
161	11.12	2.12387e-05	-1	-1	
162	10.53	2.22283e-05	-1	-1	
163	9.94	2.32018e-05	-1	-1	
164	9.36	2.4154e-05	-1	-1	
165	8.77	2.50794e-05	-1	-1	
166	8.19	2.5973e-05	-1	-1	
167	7.6	2.68297e-05	-1	-1	
168	7.01	2.76445e-05	-1	-1	
169	6.43	2.84129e-05	-1	-1	
170	5.84	2.91304e-05	-1	-1	
171	5.26	2.97928e-05	-1	-1	
172	4.68	3.03962e-05	-1	-1	
173	4.09	3.09373e-05	-1	-1	
174	3.51	3.14127e-05	-1	-1	
175	2.92	3.18198e-05	-1	-1	
176	2.34	3.21561e-05	-1	-1	
177	1.75	3.24198e-05	-1	-1	
178	1.17	3.26092e-05	-1	-1	
179	0.58	3.27233e-05	-1	-1	
180	0	3.27614e-05	-1	-1	
