 i 	 x 	 y 	 xe 	 ye
0	105	0.00045781	0	0.000207412	
1	107	0.000605573	0	0.000212305	
2	109	0.000648833	0	0.000193975	
3	111	0.000674468	0	0.000174261	
4	113	0.000700046	0	0.00016667	
5	115	0.000761483	0	0.000142909	
6	117	0.000684944	0	0.000118611	
7	119	0.000681628	0	0.00011728	
8	121	0.000597972	0	9.38274e-05	
9	123	0.000730483	0	8.32028e-05	
10	125	0.000543728	0	6.01277e-05	
11	127	0.00050031	0	5.95847e-05	
12	129	0.000575206	0	7.08834e-05	
13	131	0.000466722	0	6.06542e-05	
14	133	0.000393353	0	5.7066e-05	
15	135	0.00033556	0	5.12604e-05	
