 i 	 x 	 y 	 xe 	 ye
0	180	0.000705734	-1	-1	
1	176.91	0.000708617	-1	-1	
2	173.82	0.000717086	-1	-1	
3	170.76	0.000730606	-1	-1	
4	167.73	0.000748303	-1	-1	
5	164.73	0.000769002	-1	-1	
6	161.78	0.000791262	-1	-1	
7	158.89	0.00081345	-1	-1	
8	156.05	0.000833807	-1	-1	
9	153.28	0.000850545	-1	-1	
10	150.58	0.000861947	-1	-1	
11	147.94	0.000866473	-1	-1	
12	145.38	0.00086286	-1	-1	
13	142.9	0.000850217	-1	-1	
14	140.49	0.000828094	-1	-1	
15	138.15	0.000796534	-1	-1	
16	135.89	0.000756081	-1	-1	
17	133.7	0.000707766	-1	-1	
18	131.57	0.000653053	-1	-1	
19	129.52	0.000593756	-1	-1	
20	127.53	0.000531936	-1	-1	
21	125.61	0.00046978	-1	-1	
22	123.74	0.000409471	-1	-1	
23	121.94	0.000353064	-1	-1	
24	120.19	0.000302372	-1	-1	
25	118.49	0.00025887	-1	-1	
26	116.84	0.000223623	-1	-1	
27	115.24	0.00019724	-1	-1	
28	113.69	0.000179866	-1	-1	
29	112.18	0.000171191	-1	-1	
30	110.71	0.000170494	-1	-1	
31	109.29	0.000176711	-1	-1	
32	107.89	0.000188514	-1	-1	
33	106.54	0.000204403	-1	-1	
34	105.22	0.000222804	-1	-1	
35	103.92	0.000242157	-1	-1	
36	102.66	0.000261004	-1	-1	
37	101.43	0.000278058	-1	-1	
38	100.23	0.000292257	-1	-1	
39	99.05	0.000302802	-1	-1	
40	97.89	0.000309173	-1	-1	
41	96.76	0.000311136	-1	-1	
42	95.65	0.000308723	-1	-1	
43	94.56	0.000302211	-1	-1	
44	93.49	0.000292082	-1	-1	
45	92.44	0.00027898	-1	-1	
46	91.41	0.000263661	-1	-1	
47	90.4	0.000246945	-1	-1	
48	89.4	0.000229665	-1	-1	
49	88.42	0.000212621	-1	-1	
50	87.45	0.000196545	-1	-1	
51	86.49	0.000182061	-1	-1	
52	85.55	0.000169669	-1	-1	
53	84.63	0.000159723	-1	-1	
54	83.71	0.000152431	-1	-1	
55	82.81	0.000147853	-1	-1	
56	81.92	0.00014591	-1	-1	
57	81.04	0.000146403	-1	-1	
58	80.16	0.000149027	-1	-1	
59	79.3	0.000153398	-1	-1	
60	78.45	0.000159077	-1	-1	
61	77.61	0.000165593	-1	-1	
62	76.78	0.000172467	-1	-1	
63	75.95	0.000179235	-1	-1	
64	75.13	0.000185463	-1	-1	
65	74.33	0.000190772	-1	-1	
66	73.52	0.000194838	-1	-1	
67	72.73	0.000197413	-1	-1	
68	71.94	0.000198319	-1	-1	
